epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.9721,1.24002,1.92225,1.77439,0.83892,1,0.96731,0.71004,0.99985,1.13123,1.64732,0.00022,0.00022,0.00022
2,135.545,0.95786,1.06568,1.39514,0.96228,1,0.995,0.76789,0.9093,2.10523,1.69583,0.000455446,0.000455446,0.000455446
3,201.048,1.08196,1.11305,1.50324,0.39891,0.18182,0.14149,0.05211,2.67793,5.47389,3.26763,0.00068614,0.00068614,0.00068614
4,309.571,1.08111,1.10739,1.48381,0.1323,0.81818,0.14227,0.03354,2.38977,30.817,3.73236,0.000912082,0.000912082,0.000912082
5,488.775,1.10688,0.99806,1.47813,0.0241,0.36364,0.02428,0.00395,3.66683,447.733,27.5737,0.00113327,0.00113327,0.00113327
6,615.488,1.30016,1.00902,1.63762,0.00221,0.09091,0.00064,0.00019,4.42533,4970.87,167.319,0.00134971,0.00134971,0.00134971
7,737.518,1.13661,1.01549,1.55123,0.00712,0.63636,0.00995,0.00139,3.97642,29107.6,654.122,0.0015614,0.0015614,0.0015614
8,860.64,1.11711,1.01864,1.5725,0.02899,0.18182,0.02391,0.00344,4.24743,279.102,75.8134,0.00176833,0.00176833,0.00176833
9,982.56,1.2878,1.06608,1.69368,0,0,0,0,6.19156,125.413,29.728,0.0018416,0.0018416,0.0018416
10,1101.95,1.20683,1.10763,1.55364,0,0,0,0,5.30585,9.01798,11.0552,0.0018218,0.0018218,0.0018218
11,1216.4,1.06475,0.89544,1.47601,0,0,0,0,3.82721,8.65691,17.5396,0.001802,0.001802,0.001802
12,1314.87,1.18938,0.88419,1.57849,0,0,0,0,3.43946,9.09129,5.24363,0.0017822,0.0017822,0.0017822
13,1422.41,1.21571,0.89012,1.56299,0.00962,0.09091,0.09933,0.00993,3.81995,8.02595,6.4247,0.0017624,0.0017624,0.0017624
14,2462.2,1.10173,0.90997,1.48824,0.00358,0.09091,0.00215,0.00021,4.45356,13.5841,11.1065,0.0017426,0.0017426,0.0017426
15,2574.12,1.00067,0.83831,1.44575,0.02714,0.27273,0.01566,0.00569,3.26193,24.3258,4.42881,0.0017228,0.0017228,0.0017228
16,2678.59,0.98854,0.76066,1.46838,0.00751,0.18182,0.00283,0.00075,3.97378,203.392,18.0736,0.001703,0.001703,0.001703
17,2787.08,0.99753,0.76268,1.45786,0.00777,0.27273,0.00412,0.00151,3.71061,37.7496,8.44103,0.0016832,0.0016832,0.0016832
18,2892.05,0.99105,0.73384,1.447,0.03376,0.18182,0.01164,0.00275,3.95211,24.5884,4.08716,0.0016634,0.0016634,0.0016634
19,2998.99,0.96771,0.73462,1.40512,0.4827,0.81818,0.54878,0.25933,1.75942,3.31233,2.34177,0.0016436,0.0016436,0.0016436
20,3105.83,0.94774,0.75614,1.42177,0.45403,0.63636,0.51074,0.29633,1.32089,3.3263,1.94208,0.0016238,0.0016238,0.0016238
21,3217.34,0.90185,0.69337,1.3854,0.65361,0.81818,0.70542,0.4375,1.26974,1.96245,1.81136,0.001604,0.001604,0.001604
22,3327.32,0.96823,0.71462,1.4202,0.72466,0.71855,0.72118,0.43723,1.16446,2.01164,1.54497,0.0015842,0.0015842,0.0015842
