epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8467,1.58627,2.0909,2.12567,0.99545,1,0.995,0.6315,1.16233,1.56954,1.94654,0.00022,0.00022,0.00022
2,169.053,1.14383,1.17271,1.52943,0.8331,0.81818,0.8624,0.52721,1.43589,4.66669,2.12059,0.000455446,0.000455446,0.000455446
3,257.9,1.1117,1.1128,1.49231,0.31725,0.81818,0.44423,0.23778,1.4769,12.9215,3.58649,0.00068614,0.00068614,0.00068614
4,344.696,1.01152,0.90043,1.41206,0.0164,0.45455,0.01778,0.00591,2.40614,108.05,3.09674,0.000912082,0.000912082,0.000912082
5,430.721,1.07418,1.0456,1.46661,0.17019,0.63636,0.28502,0.07456,2.25623,12.0564,5.31817,0.00113327,0.00113327,0.00113327
6,516.391,1.0744,1.00738,1.47375,1,0.18182,0.34778,0.09266,2.21528,15.9029,6.22563,0.00134971,0.00134971,0.00134971
7,602.071,1.15343,0.89545,1.51698,0.48189,0.18182,0.20616,0.05156,3.15867,3.7461,6.26802,0.0015614,0.0015614,0.0015614
8,686.641,1.52053,1.33469,1.84761,0.00604,0.27273,0.00524,0.00106,4.69195,20.1038,43.2915,0.00176833,0.00176833,0.00176833
9,771.494,1.13229,1.18258,1.51286,0.03509,0.09091,0.02103,0.00758,2.63244,4.14059,4.66411,0.0018416,0.0018416,0.0018416
10,856.041,1.18693,1.1241,1.52646,0.01661,0.45455,0.01429,0.00291,3.25733,30.6745,4.20968,0.0018218,0.0018218,0.0018218
11,940.484,1.11909,0.96565,1.47152,0.00963,0.63636,0.01262,0.00413,3.48195,411.739,11.4528,0.001802,0.001802,0.001802
12,1024.43,1.01117,0.8416,1.41993,0.2303,0.38157,0.32804,0.09136,2.27457,7.52304,4.6284,0.0017822,0.0017822,0.0017822
13,1107.58,1.02498,0.80336,1.41326,0.25837,0.36364,0.21182,0.10314,1.94654,3.07774,2.74824,0.0017624,0.0017624,0.0017624
14,1189.87,0.91088,0.82702,1.34122,0.26966,0.45455,0.16159,0.09059,2.04838,4.01662,3.01585,0.0017426,0.0017426,0.0017426
